1,"thank u, next",Ariana Grande,31187542,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Global,Week,Region,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,32548077,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-11,34579416,2019-01-18,7 rings,71467874,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-25,59324475,2019-02-01,63197614,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-02-15,49400206,2019-02-22,43103015,2019-03-01,38174455,2019-03-08,35348576,2019-03-15,33140804,2019-03-22,31265664,2019-03-29,bad guy,Billie Eilish,50342324,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-04-05,44148365,2019-04-12,43659589,2019-04-19,40259374,2019-04-26,39122056,2019-05-03,38276163,2019-05-10,I Don't Care (with Justin Bieber),Ed Sheeran,58370367,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-05-17,46540421,2019-05-24,42878608,2019-05-31,40740644,2019-06-07,38217534,2019-06-14,37076390,2019-06-21,Señorita,Shawn Mendes,63045599,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,2019-06-28,66933317,2019-07-05,67237638,2019-07-12,64942021,2019-07-19,61224745,2019-07-26,57580873,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-02,54083728,2019-08-09,50496007,2019-08-16,48269764,2019-08-23,46917158,2019-08-30,45594172,2019-09-06,Circles,43379405,https://open.spotify.com/track/51MMC5DogGZAnHil5HQAXg,2019-09-13,42453818,2019-09-20,38036625,2019-09-27,35723233,2019-10-04,HIGHEST IN THE ROOM,Travis Scott,48161108,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-10-11,Dance Monkey,Tones And I,41681147,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-10-18,44107207,2019-10-25,Lose You To Love Me,Selena Gomez,47227738,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-01,43488484,2019-11-08,43258501,2019-11-15,42934057,2019-11-22,44289739,2019-11-29,44439902,2019-12-06,43643723,2019-12-13,46760593,2019-12-20,47797217,2019-12-27
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,30229896.0,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wow.,Post Malone,29083499.0,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24784744.0,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Without Me,Halsey,22862806.0,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MIA (feat. Drake),Bad Bunny,20458104.0,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sweet but Psycho,Ava Max,20271743.0,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SICKO MODE,Travis Scott,18743742.0,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Happier,Marshmello,18596650.0,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Calma - Remix,Pedro Capó,17560600.0,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
