,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
1,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,world
2,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,world
3,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,world
4,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,world
6,everything i wanted,Billie Eilish,electropop,2019,12/31/1969,120,23,70,-14,11,24,245,90,10,98,world
8,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,world
9,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,world
10,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,world
11,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,world
12,Someone You Loved,Lewis Capaldi,pop,2019,12/31/1969,110,41,50,-6,11,45,182,75,3,96,world
25,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,world
43,My Only Wish (This Year),Britney Spears,dance pop,2019,12/31/1969,147,73,67,-7,20,68,255,23,3,84,world
47,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,12/31/1969,126,76,34,-7,8,36,166,39,5,82,world
48,Sleigh Ride,The Ronettes,adult standards,2019,12/31/1969,92,77,53,-7,32,85,181,40,3,77,world
