,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
151,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,australia
152,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,australia
153,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,australia
154,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,australia
156,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,australia
159,Ride It,Regard,pop edm,2019,12/31/1969,118,75,88,-4,11,88,158,18,9,95,australia
176,Adore You,Harry Styles,dance pop,2019,12/31/1969,99,77,68,-4,10,57,207,2,5,87,australia
187,Never Seen The Rain,Tones and I,australian pop,2019,12/31/1969,92,46,67,-6,28,27,201,43,4,81,australia
192,Sleigh Ride,The Ronettes,adult standards,2019,12/31/1969,92,77,53,-7,32,85,181,40,3,77,australia
200,How to Make Gravy,Paul Kelly,australian alternative rock,2019,12/31/1969,95,72,40,-7,25,39,269,6,4,45,australia
